sampleID;Plant;Clostero;Polero;Partiti;PILV;CAMV;Population;Timepoint;Genotype;Leaves;Lenght;Width;Leaf area;Plant area;Herbivory;Virotic;Curly;Yellow
1;S2;0;0;0;0;0;3;2;3;8;19,2;1,2;18,0864;144,6912;0;1;1;0
2;S37;0;0;0;0;0;3;2;3;10;17,2;1,4;18,9028;189,028;1;1;0;1
3;S273;0;0;0;0;0;3;2;1;8;16,5;1,3;16,83825;134,706;1;1;0;1
4;S193;0;0;0;0;0;3;2;4;20;16,2;1,5;19,0755;381,51;0;1;1;0
5;S198;0;1;1;0;0;3;2;4;18;16,4;1,7;21,8858;393,9444;1;1;0;0
6;S274;0;0;0;0;0;3;2;1;7;15,5;1,1;13,38425;93,68975;1;0;0;0
7;S87;0;0;0;1;0;3;2;2;NA;NA;NA;NA;NA;1;0;0;0
8;S124;0;0;0;1;0;3;2;2;9;19;1,1;16,4065;147,6585;1;0;0;0
9;S158;0;0;0;1;0;3;2;2;9;22,3;1,2;21,0066;189,0594;1;0;0;0
10;S275;0;0;0;0;0;3;2;1;21;16,3;1,9;24,31145;510,54045;1;1;0;1
11;S179;0;0;0;0;0;3;2;4;13;12,5;1,3;12,75625;165,83125;1;1;0;0
12;S77;0;0;0;0;0;3;2;3;9;14,9;1,1;12,86615;115,79535;1;1;0;0
13;S237;0;0;0;0;0;3;2;4;16;13,6;1,4;14,9464;239,1424;1;0;0;0
14;S111;0;0;0;0;0;3;2;2;20;25,1;1,5;29,55525;591,105;1;0;0;0
16;S302;0;0;0;0;0;3;2;1;7;12;0,9;8,478;59,346;1;1;0;1
17;S76;1;0;0;0;0;3;2;3;14;19,3;1,9;28,78595;403,0033;1;1;0;0
18;S24;0;0;0;0;0;3;2;3;10;16,2;1,1;13,9887;139,887;1;1;0;1
19;S144;1;0;0;1;0;3;2;2;21;21,7;1,3;22,14485;465,04185;1;1;0;1
20;S16;1;0;0;0;0;3;2;3;10;16,6;1,6;20,8496;208,496;1;1;0;0
22;S52;1;0;0;0;0;3;2;3;10;16,2;1,5;19,0755;190,755;1;1;1;0
23;S4;0;0;0;0;0;3;2;3;6;15,2;1,1;13,1252;78,7512;1;1;1;0
24;S70;0;0;0;0;0;3;2;3;9;20,2;2,1;33,2997;299,6973;1;1;0;0
25;S98;1;0;0;1;0;3;2;2;19;25,2;1,6;31,6512;601,3728;1;1;1;1
26;S307;0;0;0;0;0;3;2;1;11;13,3;1,1;11,48455;126,33005;1;1;0;0
27;S82;1;0;0;1;0;3;2;2;20;26;1,8;36,738;734,76;1;0;0;0
28;S261;0;0;0;0;0;3;2;1;16;16,6;0,9;11,7279;187,6464;1;0;0;0
29;S43;1;0;0;0;0;3;2;3;17;13,4;1,1;11,5709;196,7053;1;1;0;0
30;S57;0;0;0;0;0;3;2;3;10;17,9;1,4;19,6721;196,721;1;1;0;0
31;S61;1;0;0;0;0;3;2;3;13;17,1;1,8;24,1623;314,1099;1;1;0;0
32;S97;1;0;0;1;0;3;2;2;17;26,9;1,8;38,0097;646,1649;1;1;0;0
33;S83;1;0;0;1;0;3;2;2;NA;NA;NA;NA;NA;1;0;0;0
34;S40;1;0;0;0;0;3;2;3;9;15,6;1,5;18,369;165,321;1;1;0;0
35;S231;0;0;0;0;0;3;2;4;21;13,2;1,1;11,3982;239,3622;1;0;0;0
36;S65;0;0;0;0;0;3;2;3;9;16;1,8;22,608;203,472;1;1;0;1
37;S99;1;0;0;1;0;3;2;2;30;26,1;1,5;30,73275;921,9825;1;1;1;0
38;S308;0;0;0;0;0;3;2;1;9;14,2;1;11,147;100,323;1;1;0;0
39;S56;1;0;0;0;0;3;2;3;7;12,6;1,1;10,8801;76,1607;1;1;0;0
40;S242;1;0;0;0;0;3;2;1;11;15,9;1,3;16,22595;178,48545;1;1;1;0
41;S232;1;0;0;0;0;3;2;4;15;13,1;1,1;11,31185;169,67775;1;0;0;0
42;S159;1;0;0;1;0;3;2;2;41;22,6;0,9;15,9669;654,6429;1;0;0;0
43;S228;1;0;0;0;0;3;2;4;10;12,6;1;9,891;98,91;1;0;0;0
44;S293;1;0;0;0;0;3;2;1;13;14;0,9;9,891;128,583;1;1;0;0
45;S60;1;0;0;0;0;3;2;3;27;14,9;2,2;25,7323;694,7721;1;1;1;1
46;S3;1;0;0;0;0;3;2;3;10;12,9;1,4;14,1771;141,771;1;1;0;0
47;S119;1;0;0;1;0;3;2;2;22;25,5;1,7;34,02975;748,6545;0;1;1;0
48;S234;0;0;0;0;0;3;2;4;9;10,9;1;8,5565;77,0085;1;1;0;0
49;S215;0;0;1;0;0;3;2;4;7;13,4;1;10,519;73,633;1;0;0;0
50;S132;0;0;1;1;0;3;2;2;11;20,1;1,5;23,66775;260,34525;1;1;0;1
51;S39;0;0;0;0;0;3;2;3;8;13,6;1,1;11,7436;93,9488;1;1;0;0
52;S17;0;0;1;0;0;3;2;3;10;16,4;1,5;19,311;193,11;1;1;0;0
53;S150;NA;NA;NA;1;0;3;2;2;26;19,4;1,1;16,7519;435,5494;1;0;0;0
54;S286;NA;NA;NA;0;0;3;2;1;9;13;1,1;11,2255;101,0295;1;1;1;0
55;S18;0;0;1;0;0;3;2;3;26;13,8;1,9;20,5827;535,1502;1;1;0;0
56;S314;0;0;0;0;0;3;2;1;7;11;0,9;7,7715;54,4005;1;1;0;0
57;S199;0;0;1;1;0;3;2;4;14;18,1;1,6;22,7336;318,2704;1;0;0;0
58;S269;0;0;1;0;0;3;2;1;13;15;1;11,775;153,075;1;1;1;1
